64151117873,47867895571,PARENT,2006-05-27
"47867895571","64151117873","OFFSPRING","2006-05-27"
"30612274533","63765564101","PARENT","1990-11-03"
"63765564101","30612274533","OFFSPRING","1990-11-03"
"85526084375","65146260516","SPOUSE","1996-05-29"
"65146260516","85526084375","SPOUSE","1996-05-29"
"81847364325","31281174754","SPOUSE","1988-01-20"
"31281174754","81847364325","SPOUSE","1988-01-20"
"92816498759","43917875834","SPOUSE","2010-12-17"
"43917875834","92816498759","SPOUSE","2010-12-17"
"40149212074","13529148515","SPOUSE","2000-04-20"
"13529148515","40149212074","SPOUSE","2000-04-20"
"16407121107","28179880763","SPOUSE","1978-01-28"
"28179880763","16407121107","SPOUSE","1978-01-28"
"71877545709","99173277873","SIBLING","2017-09-30"
"99173277873","71877545709","SIBLING","2017-09-30"
"40225344013","31211977195","SIBLING","1997-03-24"
"31211977195","40225344013","SIBLING","1997-03-24"
"65340764667","41313822227","SIBLING","1980-11-01"
"41313822227","65340764667","SIBLING","1980-11-01"
"57383288700","25394355774","SIBLING","2014-05-05"
"25394355774","57383288700","SIBLING","2014-05-05"
"63372671859","71162352566","SPOUSE","1997-03-27"
"71162352566","63372671859","SPOUSE","1997-03-27"
"69950370139","41390679842","PARENT","1973-12-31"
"41390679842","69950370139","OFFSPRING","1973-12-31"
"48241280282","13030154299","PARENT","2008-06-21"
"13030154299","48241280282","OFFSPRING","2008-06-21"
"74751528991","80298589611","SPOUSE","2017-06-19"
"80298589611","74751528991","SPOUSE","2017-06-19"
"20592378393","10146820353","SIBLING","1984-02-13"
"10146820353","20592378393","SIBLING","1984-02-13"
"90867829197","25407969639","PARENT","1985-01-03"
"25407969639","90867829197","OFFSPRING","1985-01-03"
"76736522910","20726550920","SIBLING","1996-12-07"
"20726550920","76736522910","SIBLING","1996-12-07"
"38099785434","83683881579","SPOUSE","2013-02-05"
"83683881579","38099785434","SPOUSE","2013-02-05"
"75532193655","79323055650","SPOUSE","1992-12-24"
"79323055650","75532193655","SPOUSE","1992-12-24"
"74048336008","70159580740","PARENT","2001-11-12"
"70159580740","74048336008","OFFSPRING","2001-11-12"
"34296274572","33675192784","PARENT","1988-06-01"
"33675192784","34296274572","OFFSPRING","1988-06-01"
"85409852253","93501068344","SIBLING","1983-09-17"
